Insert,Search,Collisions
0.02,0.05,0
0.01,0.02,0
0.01,0.02,0
0.01,0.02,1
0.01,0.02,1
0.01,0.02,1
0.01,0.02,0
0.01,0.02,0
0.01,0.02,3
0.01,0.02,3
0.01,0.02,3
0.01,0.02,2
0.01,0.02,3
0.01,0.02,2
0.01,0.02,2
0.01,0.02,3
0.01,0.02,3
0.01,0.02,2
0.01,0.02,2
0.01,0.02,3
0.01,0.02,4
0.01,0.02,1
0.01,0.02,6
0.01,0.02,2
0.01,0.02,1
0.01,0.02,3
0.01,0.02,1
0.01,0.02,4
0.01,0.02,5
0.01,0.02,9
0.01,0.02,1
0.01,0.02,4
0.01,0.02,2
0.01,0.02,8
0.01,0.02,6
0.01,0.02,7
0.01,0.02,15
0.01,0.02,10
0.01,0.02,9
0.01,0.02,4
0.01,0.02,7
0.01,0.02,10
0.01,0.02,8
0.01,0.02,8
0.01,0.02,18
0.01,0.02,9
0.01,0.02,10
0.01,0.02,5
0.01,0.02,11
0.01,0.02,8
0.01,0.02,11
0.01,0.02,8
0.12,0.02,7
0.01,0.02,8
0.01,0.02,7
0.01,0.02,11
0.01,0.02,10
0.01,0.03,12
0.01,0.02,10
0.01,0.03,13
0.01,0.02,18
0.01,0.02,16
0.01,0.12,9
0.29,0.17,12
0.02,0.03,18
0.02,0.04,12
0.12,0.04,10
0.03,0.04,14
0.03,0.04,11
0.01,0.03,9
0.01,0.03,10
0.02,0.03,11
0.01,0.03,14
0.02,0.03,18
0.01,0.03,9
0.01,0.03,15
0.01,0.02,12
0.01,0.03,14
0.01,0.03,10
0.01,0.03,12
0.01,0.03,9
0.01,0.03,13
0.01,0.03,15
0.02,0.03,19
0.01,0.03,11
0.01,0.03,13
0.01,0.03,14
0.01,0.03,14
0.01,0.03,13
0.02,0.03,17
0.02,0.03,18
0.02,0.03,18
0.01,0.03,11
0.02,0.03,19
0.01,0.03,16
0.02,0.03,20
0.02,0.03,20
0.01,0.03,19
0.01,0.03,14
0.02,0.03,19
