Elements,Time
100,17
200,27
300,43
400,59
500,74
600,91
700,107
800,124
900,146
1000,159
1100,180
1200,196
1300,215
1400,234
1500,249
1600,270
1700,287
1800,306
1900,332
2000,348
2100,364
2200,385
2300,401
2400,465
2500,559
2600,456
2700,561
2800,493
2900,634
3000,539
3100,606
3200,576
3300,593
3400,615
3500,632
3600,653
3700,689
3800,756
3900,730
4000,753
4100,834
4200,787
4300,809
4400,825
4500,840
4600,862
4700,881
4800,904
4900,944
5000,1025
5100,1072
5200,1076
5300,1002
5400,1027
5500,1099
5600,1065
5700,1085
5800,1107
5900,1128
6000,1158
6100,1239
6200,1399
6300,1701
6400,1238
6500,1261
6600,1303
6700,1309
6800,1354
6900,1427
7000,1389
7100,1527
7200,1420
7300,1448
7400,1471
7500,1491
7600,1508
7700,1719
7800,1567
7900,1572
8000,1644
8100,1866
8200,1778
8300,1675
8400,2016
8500,1718
8600,1715
8700,1909
8800,1984
8900,1775
9000,1794
9100,1864
9200,1879
9300,1863
9400,1883
9500,1985
9600,2037
9700,1944
9800,2109
9900,1985
10000,2004
